account length,area code,international plan,voice mail plan,number vmail messages,total day minutes,total day calls,total day charge,total eve minutes,total eve calls,total eve charge,total night minutes,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,customer service calls,churn,total_call_minutes,total_charges,call_intensity,call_minutes_category,state_encoded
54,408,no,no,0,134.3,73,22.83,155.5,100,13.22,102.1,68,4.59,14.7,4,3.97,3,False,391.9,44.61,1.6261410788381743,Low,68
20,415,no,no,0,190.0,109,32.3,258.2,84,21.95,181.5,102,8.17,6.3,6,1.7,0,False,629.7,64.12,2.134576271186441,High,63
49,510,no,no,0,119.3,117,20.28,215.1,109,18.28,178.7,90,8.04,11.1,1,3.0,1,False,513.0999999999999,49.6,1.6237341772151896,Low,53
142,415,no,no,0,84.8,95,14.42,136.7,63,11.62,250.5,148,11.27,14.2,6,3.83,2,False,472.0,41.14,1.542483660130719,Low,58
75,510,no,no,0,226.1,105,38.44,201.5,107,17.13,246.2,98,11.08,10.3,5,2.78,1,False,673.8,69.42999999999999,2.173548387096774,Very High,56
172,408,no,no,0,212.0,121,36.04,31.2,115,2.65,293.3,78,13.2,12.6,10,3.4,3,False,536.5,55.29,1.7085987261146496,Medium,51
12,408,no,no,0,249.6,118,42.43,252.4,119,21.45,280.2,90,12.61,11.8,3,3.19,1,True,782.2,79.67999999999999,2.3920489296636087,Very High,64
57,408,no,yes,25,176.8,94,30.06,195.0,75,16.58,213.5,116,9.61,8.3,4,2.24,0,False,585.3,58.49,2.0536842105263156,High,61
72,415,no,yes,37,220.0,80,37.4,217.3,102,18.47,152.8,71,6.88,14.7,6,3.97,3,False,590.1,66.72,2.332411067193676,High,54
36,408,no,yes,30,146.3,128,24.87,162.5,80,13.81,129.3,109,5.82,14.5,6,3.92,0,False,438.1,48.42,1.382018927444795,Low,52
78,415,no,no,0,130.8,64,22.24,223.7,116,19.01,227.8,108,10.25,10.0,5,2.7,1,False,582.3,54.2,2.0218749999999996,Medium,65
136,415,yes,yes,33,203.9,106,34.66,187.6,99,15.95,101.7,107,4.58,10.5,6,2.84,3,False,493.2,58.03,1.5807692307692307,Low,52
149,408,no,no,0,140.4,94,23.87,271.8,92,23.1,188.3,108,8.47,11.1,9,3.0,1,False,600.5,58.44,2.042517006802721,High,68
98,408,no,no,0,126.3,102,21.47,166.8,85,14.18,187.8,135,8.45,9.4,2,2.54,3,False,480.90000000000003,46.63999999999999,1.4934782608695654,Low,54
135,408,yes,yes,41,173.1,85,29.43,203.9,107,17.33,122.2,78,5.5,14.6,15,3.94,0,True,499.2,56.199999999999996,1.8488888888888888,Low,70
34,510,no,no,0,124.8,82,21.22,282.2,98,23.99,311.5,78,14.02,10.0,4,2.7,2,False,718.5,61.92999999999999,2.7848837209302326,Very High,55
160,415,no,no,0,85.8,77,14.59,165.3,110,14.05,178.5,92,8.03,9.2,4,2.48,3,False,429.6,39.15,1.5397849462365591,Low,73
64,510,no,no,0,154.0,67,26.18,225.8,118,19.19,265.3,86,11.94,3.5,3,0.95,1,False,645.1,58.260000000000005,2.3804428044280446,Very High,78
59,408,no,yes,28,120.9,97,20.55,213.0,92,18.11,163.1,116,7.34,8.5,5,2.3,2,False,497.0,48.3,1.6295081967213114,Low,78
65,415,no,no,0,211.3,120,35.92,162.6,122,13.82,134.7,118,6.06,13.2,5,3.56,3,False,508.59999999999997,59.36000000000001,1.4127777777777777,Low,73
142,408,no,no,0,187.0,133,31.79,134.6,74,11.44,242.2,127,10.9,7.4,5,2.0,2,False,563.8,56.129999999999995,1.6880239520958082,Medium,61
119,415,no,no,0,159.1,114,27.05,231.3,117,19.66,143.2,91,6.44,8.8,3,2.38,5,True,533.5999999999999,55.53,1.6571428571428568,Medium,73
97,415,no,yes,24,133.2,135,22.64,217.2,58,18.46,70.6,79,3.18,11.0,3,2.97,1,False,421.0,47.25,1.5477941176470589,Low,77
52,408,no,no,0,191.9,108,32.62,269.8,96,22.93,236.8,87,10.66,7.8,5,2.11,3,False,698.5,68.32,2.4003436426116838,Very High,44
60,408,no,no,0,220.6,57,37.5,211.1,115,17.94,249.0,129,11.21,6.8,3,1.84,1,False,680.7,68.49000000000001,2.2614617940199335,Very High,71
10,408,no,no,0,186.1,112,31.64,190.2,66,16.17,282.8,57,12.73,11.4,6,3.08,2,False,659.0999999999999,63.620000000000005,2.8046808510638295,Very High,77
96,415,no,no,0,160.2,117,27.23,267.5,67,22.74,228.5,68,10.28,9.3,5,2.51,2,False,656.2,62.76,2.603968253968254,Very High,72
87,415,no,no,0,151.0,83,25.67,219.7,116,18.67,203.9,127,9.18,9.7,3,2.62,5,True,574.6,56.14,1.7625766871165645,Medium,77
81,408,no,no,0,175.5,67,29.84,249.3,85,21.19,270.2,98,12.16,10.2,3,2.75,1,False,695.0,65.94,2.78,Very High,71
141,415,no,no,0,126.9,98,21.57,180.0,62,15.3,140.8,128,6.34,8.0,2,2.16,1,False,447.7,45.370000000000005,1.5545138888888888,Low,66
121,408,no,yes,30,198.4,129,33.73,75.3,77,6.4,181.2,77,8.15,5.8,3,1.57,3,True,454.9,49.849999999999994,1.6074204946996467,Low,66
68,415,no,no,0,148.8,70,25.3,246.5,164,20.95,129.8,103,5.84,12.1,3,3.27,3,False,525.1,55.36000000000001,1.558160237388724,Medium,78
125,408,no,no,0,229.3,103,38.98,177.4,126,15.08,189.3,95,8.52,12.0,8,3.24,1,False,596.0,65.82,1.8395061728395061,High,61
174,408,no,no,0,192.1,97,32.66,169.9,94,14.44,166.6,54,7.5,11.4,4,3.08,1,False,528.6,57.67999999999999,2.1575510204081634,Medium,73
116,415,no,yes,34,268.6,83,45.66,178.2,142,15.15,166.3,106,7.48,11.6,3,3.13,2,False,613.1,71.41999999999999,1.8522658610271905,High,34
74,510,no,yes,33,193.7,91,32.93,246.1,96,20.92,138.0,92,6.21,14.6,3,3.94,2,False,577.8,64.0,2.0709677419354837,Medium,84
149,408,no,yes,28,180.7,92,30.72,187.8,64,15.96,265.5,53,11.95,12.6,3,3.4,3,False,634.0,62.029999999999994,3.0334928229665072,High,60
38,408,no,no,0,131.2,98,22.3,162.9,97,13.85,159.0,106,7.15,8.2,6,2.21,2,False,453.1,45.51,1.5053156146179403,Low,68
40,415,no,yes,41,148.1,74,25.18,169.5,88,14.41,214.1,102,9.63,6.2,5,1.67,2,False,531.7,50.89000000000001,2.0140151515151516,Medium,66
43,415,yes,no,0,251.5,105,42.76,212.8,104,18.09,157.8,67,7.1,9.3,4,2.51,0,False,622.1,70.46,2.253985507246377,High,77
113,408,yes,no,0,125.2,93,21.28,206.4,119,17.54,129.3,139,5.82,8.3,8,2.24,0,False,460.90000000000003,46.88,1.3131054131054132,Low,84
126,408,no,no,0,211.6,70,35.97,216.9,80,18.44,153.5,60,6.91,7.8,1,2.11,1,False,582.0,63.42999999999999,2.7714285714285714,Medium,72
150,510,no,no,0,178.9,101,30.41,169.1,110,14.37,148.6,100,6.69,13.8,3,3.73,4,True,496.6,55.199999999999996,1.5967845659163988,Low,72
138,408,no,no,0,241.8,93,41.11,170.5,83,14.49,295.3,104,13.29,11.8,7,3.19,3,False,707.6,72.08,2.527142857142857,Very High,68
162,510,no,yes,46,224.9,97,38.23,188.2,84,16.0,254.6,61,11.46,12.1,2,3.27,0,False,667.7,68.96,2.7590909090909093,Very High,84
147,510,no,no,0,248.6,83,42.26,148.9,85,12.66,172.5,109,7.76,8.0,4,2.16,3,False,570.0,64.84,2.0577617328519855,Medium,62
90,415,no,no,0,203.4,146,34.58,226.7,117,19.27,152.4,105,6.86,7.3,4,1.97,1,False,582.5,62.67999999999999,1.5828804347826086,Medium,66
85,415,no,no,0,235.8,109,40.09,157.2,94,13.36,188.2,99,8.47,12.0,3,3.24,0,False,581.2,65.16,1.9245033112582783,Medium,53
50,415,no,no,0,157.1,90,26.71,223.3,72,18.98,181.4,111,8.16,6.1,2,1.65,1,False,561.8,55.49999999999999,2.0578754578754577,Medium,84
82,415,no,no,0,300.3,109,51.05,181.0,100,15.39,270.1,73,12.15,11.7,4,3.16,0,True,751.4000000000001,81.75,2.664539007092199,Very High,54
144,408,no,no,0,61.6,117,10.47,77.1,85,6.55,173.0,99,7.79,8.2,7,2.21,4,True,311.7,27.02,1.0355481727574751,Low,83
46,415,no,no,0,214.1,72,36.4,164.4,104,13.97,177.5,113,7.99,8.2,3,2.21,2,False,556.0,60.57,1.9238754325259515,Medium,84
70,408,no,no,0,170.2,98,28.93,155.2,102,13.19,228.6,76,10.29,15.0,2,4.05,1,False,554.0,56.459999999999994,2.0072463768115942,Medium,70
144,415,no,no,0,201.1,99,34.19,303.5,74,25.8,224.0,119,10.08,13.2,2,3.56,1,False,728.6,73.63,2.495205479452055,Very High,106
116,415,yes,no,0,215.4,104,36.62,204.8,79,17.41,278.5,109,12.53,12.6,5,3.4,3,False,698.7,69.96000000000001,2.3928082191780824,Very High,78
55,408,no,yes,25,165.6,123,28.15,136.1,95,11.57,175.7,90,7.91,11.0,2,2.97,3,False,477.4,50.599999999999994,1.5499999999999998,Low,66
70,415,no,yes,24,249.5,101,42.42,259.7,98,22.07,222.7,68,10.02,9.8,4,2.65,1,False,731.9,77.16000000000001,2.7411985018726592,Very High,54
106,510,no,no,0,210.6,96,35.8,249.2,85,21.18,191.4,88,8.61,12.4,1,3.35,2,True,651.1999999999999,68.94,2.4208178438661707,Very High,72
128,510,no,yes,29,179.3,104,30.48,225.9,86,19.2,323.0,78,14.54,8.6,7,2.32,0,False,728.2,66.53999999999999,2.717164179104478,Very High,73
94,408,no,no,0,157.9,105,26.84,155.0,101,13.18,189.6,84,8.53,8.0,5,2.16,4,True,502.5,50.709999999999994,1.7327586206896552,Low,71
111,510,no,no,0,214.3,118,36.43,208.5,76,17.72,182.4,98,8.21,12.0,2,3.24,1,False,605.2,65.6,2.0726027397260274,High,106
74,415,no,yes,35,154.1,104,26.2,123.4,84,10.49,202.1,57,9.09,10.9,9,2.94,2,False,479.6,48.72,1.9575510204081634,Low,59
128,415,no,no,0,237.9,125,40.44,247.6,93,21.05,208.9,68,9.4,13.9,4,3.75,1,True,694.4,74.64,2.427972027972028,Very High,68
82,510,no,no,0,143.9,61,24.46,194.9,105,16.57,109.6,94,4.93,11.1,2,3.0,1,False,448.4,48.96,1.7246153846153844,Low,54
155,415,no,no,0,203.4,100,34.58,190.9,104,16.23,196.0,119,8.82,8.9,4,2.4,0,True,590.3,62.03,1.8275541795665633,High,51
80,415,no,no,0,124.3,100,21.13,173.0,107,14.71,253.2,62,11.39,7.9,9,2.13,1,False,550.5,49.36000000000001,2.046468401486989,Medium,55
78,415,no,no,0,252.9,93,42.99,178.4,112,15.16,263.9,105,11.88,9.5,7,2.57,3,False,695.2,72.6,2.2425806451612904,Very High,62
90,415,no,no,0,179.1,71,30.45,190.6,81,16.2,127.7,91,5.75,10.6,7,2.86,3,False,497.4,55.26,2.0469135802469136,Low,64
104,408,no,no,0,278.4,106,47.33,81.0,113,6.89,163.2,137,7.34,9.8,5,2.65,1,False,522.5999999999999,64.21000000000001,1.4679775280898875,Medium,52
73,415,no,no,0,160.1,110,27.22,213.3,72,18.13,174.1,72,7.83,13.0,4,3.51,0,False,547.5,56.68999999999999,2.155511811023622,Medium,68
99,415,no,no,0,198.2,87,33.69,207.3,76,17.62,190.9,113,8.59,8.7,3,2.35,4,False,596.4,62.25000000000001,2.160869565217391,High,64
120,408,no,no,0,212.1,131,36.06,209.4,104,17.8,167.2,96,7.52,5.3,5,1.43,1,True,588.7,62.809999999999995,1.7785498489425984,High,65
77,415,no,no,0,251.8,72,42.81,205.7,126,17.48,275.2,109,12.38,9.8,7,2.65,2,True,732.7,75.32000000000001,2.3866449511400654,Very High,73
98,510,no,yes,21,161.2,114,27.4,252.2,83,21.44,160.2,92,7.21,4.4,8,1.19,4,False,573.5999999999999,57.24,1.98477508650519,Medium,44
108,415,no,no,0,178.3,137,30.31,189.0,76,16.07,129.1,102,5.81,14.6,5,3.94,0,False,496.4,56.129999999999995,1.5758730158730159,Low,65
135,415,no,no,0,151.7,82,25.79,119.0,105,10.12,180.0,100,8.1,10.5,6,2.84,0,False,450.7,46.849999999999994,1.570383275261324,Low,73
95,408,no,no,0,135.0,99,22.95,183.6,106,15.61,245.3,102,11.04,12.5,9,3.38,1,False,563.9000000000001,52.980000000000004,1.8368078175895768,Medium,59
122,408,no,no,0,170.5,94,28.99,173.7,109,14.76,248.6,75,11.19,11.3,2,3.05,1,False,592.8,57.989999999999995,2.1323741007194243,High,71
95,408,no,no,0,238.1,65,40.48,187.2,98,15.91,190.0,115,8.55,11.8,4,3.19,4,False,615.3,68.13,2.2133093525179857,High,64
36,510,no,yes,29,281.4,102,47.84,202.2,76,17.19,187.2,113,8.42,9.0,6,2.43,2,False,670.8,75.88000000000001,2.3051546391752575,Very High,73
93,510,no,yes,21,117.9,131,20.04,164.5,115,13.98,217.0,86,9.76,9.8,3,2.65,1,False,499.4,46.42999999999999,1.5042168674698795,Low,62
141,415,no,yes,32,148.6,91,25.26,131.1,97,11.14,219.4,142,9.87,10.1,1,2.73,1,False,499.1,49.0,1.5124242424242424,Low,66
157,408,no,no,0,229.8,90,39.07,147.9,121,12.57,241.4,108,10.86,9.6,7,2.59,3,False,619.1,65.09,1.9407523510971787,High,72
120,408,no,no,0,165.0,100,28.05,317.2,83,26.96,119.2,86,5.36,8.3,8,2.24,1,False,601.4,62.61000000000001,2.2356877323420075,High,73
103,415,no,no,0,185.0,117,31.45,223.3,94,18.98,222.8,91,10.03,12.6,2,3.4,2,False,631.1,63.86,2.0897350993377484,High,65
98,408,no,no,0,161.0,117,27.37,190.9,113,16.23,227.7,113,10.25,12.1,4,3.27,4,False,579.5999999999999,57.120000000000005,1.6897959183673468,Medium,80
125,408,no,no,0,126.7,108,21.54,206.0,90,17.51,247.8,114,11.15,13.3,7,3.59,1,False,580.5,53.78999999999999,1.8605769230769231,Medium,61
63,415,no,no,0,58.9,125,10.01,169.6,59,14.42,211.4,88,9.51,9.4,3,2.54,1,False,439.9,36.48,1.6172794117647058,Low,64
36,510,yes,yes,42,196.8,89,33.46,254.9,122,21.67,138.3,126,6.22,20.0,6,5.4,0,True,590.0,66.75,1.7507418397626113,High,62
64,510,no,no,0,162.6,83,27.64,152.3,109,12.95,57.5,122,2.59,14.2,3,3.83,1,False,372.4,47.010000000000005,1.1859872611464968,Low,68
74,415,no,no,0,282.5,114,48.03,219.9,48,18.69,170.0,115,7.65,9.4,4,2.54,1,True,672.4,76.91000000000001,2.427436823104693,Very High,66
112,510,no,yes,36,113.7,117,19.33,157.5,82,13.39,177.6,118,7.99,10.0,3,2.7,2,False,448.79999999999995,43.410000000000004,1.4157728706624604,Low,63
97,408,no,no,0,239.8,125,40.77,214.8,111,18.26,143.3,81,6.45,8.7,5,2.35,2,False,597.9000000000001,67.83,1.886119873817035,High,73
46,408,no,no,0,210.2,92,35.73,227.3,77,19.32,200.1,116,9.0,13.1,7,3.54,1,False,637.6,67.59,2.2371929824561403,High,61
41,408,no,yes,22,213.8,102,36.35,141.8,86,12.05,142.2,123,6.4,7.2,3,1.94,0,False,497.8,56.74,1.6006430868167203,Low,72
121,510,no,no,0,190.7,103,32.42,183.5,117,15.6,220.8,103,9.94,9.8,4,2.65,3,False,595.0,60.61,1.8421052631578947,High,70
193,415,no,no,0,170.9,124,29.05,132.3,95,11.25,112.9,89,5.08,11.6,3,3.13,1,False,416.1,48.51,1.350974025974026,Low,65
130,510,no,no,0,154.2,119,26.21,110.2,98,9.37,227.4,117,10.23,9.2,5,2.48,2,False,491.79999999999995,48.29,1.4724550898203592,Low,66
85,408,no,no,0,201.4,52,34.24,229.4,104,19.5,252.5,106,11.36,12.0,3,3.24,1,False,683.3,68.33999999999999,2.6080152671755723,Very High,64
162,415,no,no,0,70.7,108,12.02,157.5,87,13.39,154.8,82,6.97,9.1,3,2.46,4,True,383.0,34.84,1.3826714801444044,Low,65
61,510,no,yes,27,187.5,124,31.88,146.6,103,12.46,225.7,129,10.16,6.4,6,1.73,4,True,559.8,56.23,1.5724719101123594,Medium,65
92,408,no,no,0,91.7,90,15.59,193.7,123,16.46,175.0,86,7.88,9.2,4,2.48,2,False,460.4,42.41,1.5397993311036788,Low,72
131,408,no,yes,36,214.2,115,36.41,161.7,117,13.74,264.7,102,11.91,9.5,4,2.57,3,False,640.5999999999999,64.63,1.9179640718562871,High,61
90,415,no,no,0,145.5,92,24.74,217.7,114,18.5,146.9,123,6.61,10.9,2,2.94,3,False,510.1,52.78999999999999,1.5504559270516718,Low,61
75,408,no,no,0,166.3,125,28.27,158.2,86,13.45,256.7,80,11.55,6.1,5,1.65,1,False,581.2,54.919999999999995,1.9972508591065294,Medium,34
78,415,no,no,0,231.0,115,39.27,230.4,140,19.58,261.4,120,11.76,9.5,3,2.57,1,False,722.8,73.17999999999999,1.9274666666666664,Very High,68
82,408,no,no,0,200.3,96,34.05,201.2,102,17.1,206.1,60,9.27,7.1,1,1.92,4,False,607.6,62.34,2.3550387596899225,High,72
163,408,no,no,0,197.0,109,33.49,202.6,128,17.22,206.4,80,9.29,9.1,10,2.46,1,False,606.0,62.46,1.911671924290221,High,55
91,510,yes,no,0,129.9,112,22.08,173.3,83,14.73,247.2,130,11.12,11.2,3,3.02,3,False,550.4000000000001,50.95,1.6935384615384619,Medium,80
75,415,no,yes,21,175.8,97,29.89,217.5,106,18.49,237.5,134,10.69,5.3,4,1.43,5,False,630.8,60.49999999999999,1.8718100890207714,High,83
91,510,no,no,0,203.1,106,34.53,210.1,113,17.86,195.6,129,8.8,12.0,3,3.24,3,False,608.8,64.42999999999999,1.7494252873563216,High,63
127,510,no,yes,36,183.2,117,31.14,126.8,76,10.78,263.3,71,11.85,11.2,8,3.02,1,False,573.3,56.790000000000006,2.171590909090909,Medium,52
113,415,no,yes,23,205.0,101,34.85,152.0,60,12.92,158.6,59,7.14,10.2,5,2.75,2,False,515.6,57.660000000000004,2.3436363636363637,Low,66
110,510,no,no,0,148.5,115,25.25,276.4,84,23.49,193.6,112,8.71,12.4,3,3.35,1,False,618.5,60.8,1.9887459807073955,High,61
120,415,no,yes,39,200.3,68,34.05,220.4,97,18.73,253.8,116,11.42,10.5,4,2.84,0,False,674.5,67.04,2.400355871886121,Very High,70
157,415,no,yes,28,192.6,107,32.74,195.5,74,16.62,109.7,139,4.94,6.8,5,1.84,3,False,497.8,56.14,1.555625,Low,73
103,510,no,no,0,246.5,47,41.91,195.5,84,16.62,200.5,96,9.02,11.7,4,3.16,1,False,642.5,70.71,2.8303964757709252,High,73
117,408,yes,no,0,167.1,86,28.41,177.5,87,15.09,249.4,132,11.22,14.1,7,3.81,2,True,594.0,58.53,1.9475409836065574,High,73
140,415,no,no,0,231.9,101,39.42,160.1,94,13.61,110.4,98,4.97,14.3,6,3.86,3,False,502.4,61.86,1.7146757679180886,Low,73
127,408,no,no,0,146.7,91,24.94,203.5,78,17.3,203.4,110,9.15,13.7,3,3.7,1,False,553.6,55.09,1.9842293906810036,Medium,66
83,408,yes,no,0,271.5,87,46.16,216.3,126,18.39,121.1,105,5.45,11.7,4,3.16,1,False,608.9,73.16,1.9147798742138364,High,72
121,408,no,no,0,181.5,121,30.86,218.4,98,18.56,161.6,103,7.27,8.5,5,2.3,1,False,561.5,58.989999999999995,1.7437888198757765,Medium,51
145,408,no,yes,43,257.7,97,43.81,162.1,95,13.78,286.9,86,12.91,11.1,4,3.0,2,False,706.6999999999999,73.5,2.5420863309352515,Very High,65
113,408,no,no,0,193.8,99,32.95,221.4,125,18.82,172.3,67,7.75,10.6,6,2.86,1,False,587.5,62.38,2.0189003436426116,High,44
117,415,no,no,0,102.8,119,17.48,206.7,91,17.57,299.0,105,13.46,10.1,7,2.73,1,False,608.5,51.239999999999995,1.9317460317460318,High,61
65,408,no,no,0,187.9,116,31.94,157.6,117,13.4,227.3,86,10.23,7.5,6,2.03,1,False,572.8,57.60000000000001,1.7956112852664576,Medium,78
56,415,no,no,0,226.0,112,38.42,248.5,118,21.12,140.5,142,6.32,6.9,11,1.86,1,False,615.0,67.72000000000001,1.653225806451613,High,65
96,415,no,no,0,260.4,115,44.27,146.0,46,12.41,269.5,87,12.13,11.5,4,3.11,5,False,675.9,71.92,2.7254032258064513,Very High,61
151,408,no,no,0,178.7,116,30.38,292.1,138,24.83,265.9,101,11.97,9.8,4,2.65,0,False,736.7,69.83,2.075211267605634,Very High,51
83,415,no,no,0,337.4,120,57.36,227.4,116,19.33,153.9,114,6.93,15.8,7,4.27,0,True,718.6999999999999,87.89,2.0534285714285714,Very High,78
139,510,no,yes,23,157.6,129,26.79,247.0,96,21.0,259.2,112,11.66,13.7,2,3.7,0,False,663.8,63.150000000000006,1.9697329376854598,Very High,77
6,510,no,no,0,183.6,117,31.21,256.7,72,21.82,178.6,79,8.04,10.2,2,2.75,1,False,618.9,63.82,2.309328358208955,High,63
115,510,no,yes,24,142.1,124,24.16,183.4,129,15.59,164.8,114,7.42,9.6,4,2.59,1,False,490.3,49.760000000000005,1.3359673024523162,Low,63
87,415,no,no,0,136.3,97,23.17,172.2,108,14.64,137.5,101,6.19,7.1,5,1.92,0,False,446.0,45.92,1.457516339869281,Low,60
141,415,no,no,0,217.1,110,36.91,241.5,111,20.53,253.5,103,11.41,12.0,6,3.24,0,False,712.1,72.08999999999999,2.1978395061728397,Very High,77
141,510,no,yes,36,187.5,99,31.88,241.4,116,20.52,229.5,105,10.33,10.5,5,2.84,3,False,658.4,65.57,2.0575,Very High,44
62,415,no,no,0,98.9,103,16.81,135.4,122,11.51,236.6,82,10.65,12.2,1,3.29,1,False,470.9,42.26,1.5338762214983712,Low,73
146,415,no,no,0,206.3,151,35.07,148.6,89,12.63,167.2,91,7.52,6.1,3,1.65,1,False,522.0999999999999,56.87,1.5773413897280963,Medium,61
92,415,no,yes,33,243.1,92,41.33,213.8,92,18.17,228.7,104,10.29,12.1,2,3.27,2,False,685.5999999999999,73.05999999999999,2.380555555555555,Very High,61
185,510,no,yes,31,189.8,126,32.27,163.3,133,13.88,264.8,126,11.92,7.5,3,2.03,1,False,617.9000000000001,60.10000000000001,1.604935064935065,High,54
148,415,no,no,0,202.0,102,34.34,243.2,128,20.67,261.3,90,11.76,10.9,3,2.94,1,False,706.5,69.71000000000001,2.2078125,Very High,54
94,408,no,yes,38,170.1,124,28.92,193.3,116,16.43,105.9,73,4.77,12.8,4,3.46,1,False,469.29999999999995,53.580000000000005,1.499361022364217,Low,64
32,510,no,no,0,230.9,87,39.25,187.4,90,15.93,154.0,53,6.93,6.3,2,1.7,0,False,572.3,63.81,2.488260869565217,Medium,80
68,408,no,no,0,237.1,105,40.31,223.5,105,19.0,97.4,79,4.38,13.2,2,3.56,1,False,558.0,67.25,1.930795847750865,Medium,66
64,408,no,yes,27,182.1,91,30.96,169.7,98,14.42,164.7,86,7.41,10.6,5,2.86,2,False,516.5,55.650000000000006,1.8781818181818182,Low,56
25,415,no,no,0,119.3,87,20.28,211.5,101,17.98,268.9,86,12.1,10.5,4,2.84,3,False,599.7,53.2,2.1886861313868615,High,62
65,415,no,no,0,116.8,87,19.86,178.9,93,15.21,182.4,150,8.21,14.1,2,3.81,1,False,478.1,47.09,1.448787878787879,Low,78
