international plan,voice mail plan,number vmail messages,total day minutes,total day charge,total intl minutes,total intl calls,total intl charge,customer service calls,total_call_minutes,total_charges
0,0,0,124.4,21.15,11.3,6,3.05,0,557.1,50.86
1,0,0,129.9,22.08,11.2,3,3.02,3,550.4000000000001,50.95
0,0,0,92.2,15.67,13.1,6,3.54,1,432.5,42.97
0,0,0,326.3,55.47,7.5,1,2.03,1,654.3,78.86
1,0,0,134.2,22.81,10.7,5,2.89,0,472.29999999999995,47.519999999999996
0,1,42,137.3,23.34,10.2,3,2.75,0,552.9,52.16
0,0,0,193.3,32.86,9.1,3,2.46,4,586.0,63.56
0,0,0,271.7,46.19,6.6,4,1.78,3,626.3,70.13
0,0,0,119.3,20.28,11.1,1,3.0,1,513.0999999999999,49.6
0,1,24,227.5,38.68,9.0,13,2.43,1,628.8,68.57000000000001
0,0,0,183.0,31.11,9.5,19,2.57,0,437.70000000000005,48.06
0,0,0,271.8,46.21,8.7,2,2.35,4,719.1,78.17
0,0,0,176.9,30.07,10.5,2,2.84,4,493.4,51.269999999999996
0,0,0,200.4,34.07,10.0,2,2.7,1,661.7,69.89
0,0,0,190.5,32.39,10.1,5,2.73,3,628.6,62.019999999999996
0,0,0,97.6,16.59,11.6,9,3.13,1,423.29999999999995,38.6
0,0,0,151.6,25.77,4.0,5,1.08,1,595.7,55.61
0,0,0,103.3,17.56,10.7,3,2.89,0,399.5,38.94
0,1,28,206.9,35.17,9.3,11,2.51,2,643.0999999999999,67.88000000000001
0,1,38,256.7,43.64,11.4,3,3.08,3,530.2,65.05
0,0,0,129.9,22.08,14.3,3,3.86,1,570.0,54.08999999999999
0,0,0,261.8,44.51,9.6,5,2.59,1,619.0,72.0
0,0,0,85.8,14.59,9.2,4,2.48,3,429.6,39.15
0,0,0,214.3,36.43,12.0,2,3.24,1,605.2,65.6
0,0,0,128.8,21.9,14.1,4,3.81,2,615.3000000000001,55.76
0,0,0,153.1,26.03,9.9,9,2.67,3,716.4,63.410000000000004
0,0,0,163.5,27.8,12.6,5,3.4,1,560.6,54.81
0,1,18,146.8,24.96,7.2,7,1.94,0,635.5,61.29
0,1,37,211.7,35.99,12.2,1,3.29,1,515.7,59.35
0,1,30,173.1,29.43,11.5,5,3.11,1,579.0,60.69
0,0,0,183.8,31.25,6.1,2,1.65,1,468.0,50.63
0,0,0,226.2,38.45,6.4,2,1.73,0,575.4,61.51
0,0,0,129.9,22.08,13.3,3,3.59,0,500.5,51.55
0,1,26,236.8,40.26,11.2,8,3.02,1,681.3,73.82
0,1,36,201.3,34.22,5.4,3,1.46,1,369.2,44.93
0,0,0,288.8,49.1,9.5,2,2.57,0,680.1,76.30999999999999
0,0,0,136.1,23.14,10.1,5,2.73,2,451.2,46.309999999999995
0,0,0,169.2,28.76,12.6,3,3.4,1,565.4,58.66
0,0,0,175.4,29.82,12.2,4,3.29,0,545.9,59.709999999999994
1,1,27,175.5,29.84,6.9,5,1.86,1,680.9000000000001,62.86999999999999
0,0,0,207.7,35.31,6.8,3,1.84,1,666.0999999999999,65.65
0,0,0,225.9,38.4,10.1,4,2.73,1,660.8000000000001,67.21
0,0,0,90.7,15.42,5.6,5,1.51,2,467.6,42.19
1,0,0,194.2,33.01,12.9,1,3.48,1,698.5,69.16
0,1,27,141.1,23.99,13.2,2,3.56,1,540.0999999999999,54.49000000000001
0,0,0,212.3,36.09,7.7,3,2.08,0,604.0,64.93
0,0,0,308.6,52.46,7.3,3,1.97,4,658.1,76.19
0,0,0,109.4,18.6,7.8,7,2.11,1,378.0,36.85
0,1,19,180.1,30.62,7.5,3,2.03,0,545.0,54.17
0,1,29,219.2,37.26,15.0,5,4.05,1,617.6,67.47999999999999
1,0,0,251.3,42.72,9.9,1,2.67,3,622.1,72.17
0,0,0,123.7,21.03,13.1,4,3.54,1,416.1,41.85
0,0,0,118.6,20.16,11.5,5,3.11,1,371.5,42.63999999999999
0,0,0,205.2,34.88,7.0,6,1.89,0,566.1,60.400000000000006
0,0,0,200.6,34.1,7.7,2,2.08,3,552.5,58.11
0,0,0,99.7,16.95,14.1,4,3.81,2,394.20000000000005,39.81
0,0,0,222.2,37.77,10.9,5,2.94,1,706.7,71.25
0,1,22,166.0,28.22,10.2,6,2.75,1,585.4,56.81999999999999
0,0,0,234.5,39.87,3.5,6,0.95,3,642.6,67.84
0,0,0,136.4,23.19,11.5,1,3.11,3,569.5999999999999,53.89000000000001
1,0,0,220.8,37.54,6.4,3,1.73,0,699.3,71.43
0,1,32,30.9,5.25,8.6,7,2.32,1,448.70000000000005,33.86
0,1,33,81.6,13.87,9.9,4,2.67,1,468.1,43.36
0,0,0,163.4,27.78,9.8,4,2.65,7,662.4000000000001,62.86
0,1,22,224.4,38.15,8.8,2,2.38,1,611.8,63.800000000000004
0,0,0,253.2,43.04,4.4,4,1.19,1,583.2,66.6
0,1,36,96.8,16.46,13.4,4,3.62,2,433.4,42.05
0,0,0,110.5,18.79,10.5,3,2.84,3,503.2,48.230000000000004
0,0,0,156.2,26.55,7.3,5,1.97,1,451.29999999999995,45.400000000000006
1,0,0,241.0,40.97,9.9,1,2.67,1,693.0,73.25
0,1,17,186.9,31.77,5.8,3,1.57,1,627.8,62.78
0,0,0,150.8,25.64,12.5,1,3.38,1,693.9,65.28999999999999
0,0,0,114.8,19.52,9.6,4,2.59,2,533.4000000000001,46.95
1,0,0,190.6,32.4,13.0,6,3.51,1,542.1999999999999,58.199999999999996
0,1,28,214.4,36.45,8.0,13,2.16,3,655.8,67.88
0,0,0,169.7,28.85,10.5,3,2.84,4,564.1,55.10000000000001
0,0,0,73.3,12.46,8.2,3,2.21,4,474.29999999999995,39.17
0,1,27,253.7,43.13,9.2,5,2.48,7,673.4,73.66000000000001
0,0,0,237.8,40.43,10.2,6,2.75,2,678.7,71.96
0,0,0,191.0,32.47,6.5,4,1.76,0,757.1,72.46000000000001
0,1,24,217.2,36.92,11.3,4,3.05,0,495.2,58.03
0,0,0,182.5,31.03,11.3,8,3.05,4,617.1,61.83
0,0,0,206.2,35.05,9.0,3,2.43,1,579.6999999999999,64.54
1,1,37,237.1,40.31,7.9,3,2.13,1,772.5999999999999,77.11
0,0,0,270.5,45.99,9.6,5,2.59,1,636.5,74.25000000000001
0,0,0,78.1,13.28,12.3,4,3.32,1,461.79999999999995,43.44
0,1,40,128.1,21.78,15.6,3,4.21,0,575.5,56.03
0,0,0,312.0,53.04,12.8,4,3.46,1,660.6,79.39
0,0,0,213.4,36.28,9.5,6,2.57,1,598.0,64.36
0,0,0,240.0,40.8,9.3,2,2.51,0,563.2,63.21999999999999
1,0,0,106.6,18.12,9.6,8,2.59,2,489.8,43.849999999999994
0,0,0,115.5,19.64,7.5,6,2.03,0,576.6,52.51
0,1,42,199.5,33.92,10.9,3,2.94,4,519.1,56.650000000000006
0,1,30,143.4,24.38,9.4,4,2.54,3,441.29999999999995,47.129999999999995
0,1,24,176.1,29.94,12.1,9,3.27,0,604.6,58.870000000000005
0,0,0,123.1,20.93,12.6,7,3.4,2,549.7,50.809999999999995
0,1,25,134.0,22.78,9.7,4,2.62,0,520.6,51.040000000000006
1,1,29,260.8,44.34,17.0,6,4.59,1,696.2,75.07000000000001
0,1,38,170.1,28.92,12.8,4,3.46,1,469.29999999999995,53.580000000000005
0,0,0,208.7,35.48,8.5,4,2.3,0,599.6,63.87999999999999
0,0,0,188.0,31.96,15.3,3,4.13,3,428.8,50.54
0,0,0,176.7,30.04,9.1,4,2.46,2,597.0999999999999,61.18
0,0,0,208.3,35.41,12.6,3,3.4,1,752.9,73.47
0,1,29,225.4,38.32,12.9,3,3.48,1,693.6,70.35000000000001
0,0,0,143.4,24.38,9.7,6,2.62,2,626.8,60.330000000000005
0,0,0,139.6,23.73,8.8,4,2.38,2,507.6,52.31
0,1,31,218.5,37.15,9.4,6,2.54,0,471.6,56.45
0,0,0,137.5,23.38,13.3,5,3.59,2,628.3,56.980000000000004
0,0,0,82.3,13.99,7.2,4,1.94,1,444.2,38.9
0,1,21,160.6,27.3,9.5,1,2.57,2,507.7,54.410000000000004
0,1,39,116.9,19.87,12.3,2,3.32,0,683.3,59.74
0,0,0,223.0,37.91,7.1,12,1.92,0,521.8,57.68
0,0,0,78.2,13.29,18.0,3,4.86,1,586.6,51.17
0,0,0,195.9,33.3,13.2,1,3.56,2,736.0999999999999,70.25
0,1,31,237.1,40.31,10.1,5,2.73,4,639.4,69.37
0,0,0,143.3,24.36,10.1,4,2.73,1,508.0,50.72
0,0,0,206.2,35.05,12.6,7,3.4,3,511.0,58.74
0,0,0,241.7,41.09,11.1,2,3.0,2,580.0,66.05000000000001
1,1,38,220.1,37.42,10.1,4,2.73,4,691.7,70.75000000000001
0,1,38,204.2,34.71,8.3,4,2.24,0,696.6,67.33999999999999
0,0,0,189.5,32.22,9.2,7,2.48,0,610.6,61.93
0,0,0,166.6,28.32,7.7,6,2.08,1,526.9,54.31
0,0,0,106.1,18.04,8.1,3,2.19,1,456.2,42.28999999999999
0,0,0,208.9,35.51,12.8,7,3.46,0,741.5,73.02999999999999
0,1,12,188.0,31.96,10.5,3,2.84,2,541.2,56.75
0,1,35,174.4,29.65,11.8,3,3.19,1,498.5,55.28999999999999
1,0,0,211.3,35.92,9.7,4,2.62,4,492.79999999999995,55.440000000000005
0,0,0,127.7,21.71,10.6,7,2.86,1,483.5,47.900000000000006
0,0,0,241.1,40.99,11.6,10,3.13,1,584.9,65.82
0,1,16,90.4,15.37,13.1,4,3.54,0,518.8000000000001,46.239999999999995
0,1,35,245.4,41.72,7.5,6,2.03,1,667.6,68.68
0,0,0,235.5,40.04,11.5,4,3.11,2,595.8,69.64999999999999
0,1,27,186.2,31.65,9.6,3,2.59,2,452.29999999999995,53.8
0,0,0,350.8,59.64,10.1,9,2.73,1,821.1999999999999,92.2
0,0,0,129.6,22.03,9.4,10,2.54,3,547.9,53.24
0,0,0,266.9,45.37,11.0,6,2.97,3,748.3,79.19
1,0,0,218.9,37.21,11.1,4,3.0,0,630.2,67.04
0,0,0,193.3,32.86,9.4,6,2.54,3,522.8,56.419999999999995
0,1,31,193.8,32.95,13.3,2,3.59,1,587.5999999999999,62.36
0,0,0,191.9,32.62,13.4,4,3.62,4,467.6,51.489999999999995
0,0,0,207.1,35.21,12.4,2,3.35,1,601.4,64.31
0,0,0,227.7,38.71,11.7,5,3.16,1,526.4,62.11
0,0,0,157.1,26.71,8.5,5,2.3,4,539.2,53.599999999999994
0,0,0,185.8,31.59,6.6,4,1.78,1,578.1,58.72
0,0,0,197.3,33.54,6.7,6,1.81,1,674.1,69.03
0,0,0,149.6,25.43,14.3,9,3.86,0,531.5,54.49999999999999
0,0,0,201.8,34.31,16.5,5,4.46,0,659.4,68.61999999999999
0,0,0,268.1,45.58,14.4,6,3.89,2,609.4000000000001,69.65
0,0,0,129.4,22.0,1.1,2,0.3,2,519.5,47.269999999999996
0,0,0,236.7,40.24,12.7,6,3.43,1,633.3,70.79
0,1,19,176.6,30.02,14.6,6,3.94,1,554.8,57.489999999999995
1,0,0,157.0,26.69,7.1,6,1.92,0,471.90000000000003,46.900000000000006
0,0,0,164.9,28.03,7.8,4,2.11,2,604.7,58.339999999999996
1,1,17,236.5,40.21,12.2,3,3.29,2,636.3,68.01
0,0,0,191.5,32.56,0.0,0,0.0,0,587.0,57.36
0,0,0,239.7,40.75,8.7,3,2.35,2,760.9999999999999,77.88
0,1,36,166.2,28.25,11.2,2,3.02,3,513.8,56.47
0,0,0,166.9,28.37,7.2,5,1.94,0,511.20000000000005,52.0
0,0,0,161.9,27.52,10.2,11,2.75,3,540.8,56.53
0,0,0,124.3,21.13,14.8,1,4.0,0,488.79999999999995,49.81
0,0,0,221.1,37.59,9.5,1,2.57,0,710.0999999999999,71.63
0,0,0,138.7,23.58,4.9,4,1.32,2,518.4000000000001,50.6
0,0,0,83.0,14.11,13.0,3,3.51,0,505.7,43.73
0,1,25,215.9,36.7,11.6,4,3.13,1,654.0,69.86
0,1,37,78.5,13.35,11.8,4,3.19,1,468.7,42.519999999999996
0,0,0,246.2,41.85,9.4,5,2.54,1,628.7,69.69
0,0,0,222.0,37.74,12.4,6,3.35,2,691.3,69.69
0,0,0,136.1,23.14,11.3,4,3.05,1,568.5,53.81999999999999
0,1,28,221.6,37.67,9.0,2,2.43,1,750.3,75.42000000000002
0,0,0,159.0,27.03,10.1,4,2.73,0,496.5,55.15
1,1,36,199.0,33.83,11.0,6,2.97,1,687.9,70.45
0,0,0,148.2,25.19,6.2,3,1.67,2,599.7,58.580000000000005
0,1,28,167.9,28.54,9.2,6,2.48,4,551.6,55.919999999999995
0,1,28,283.1,48.13,6.1,8,1.65,1,781.3,79.62
0,0,0,160.1,27.22,13.0,4,3.51,0,547.5,56.68999999999999
0,1,23,245.0,41.65,14.9,3,4.02,2,749.7,78.99
0,0,0,229.9,39.08,14.2,4,3.83,2,636.7,66.99
0,0,0,184.4,31.35,9.3,5,2.51,3,625.6,61.86
0,0,0,216.2,36.75,10.0,5,2.7,2,701.9,68.73
0,1,38,107.9,18.34,10.5,2,2.84,0,501.9,44.519999999999996
0,0,0,145.6,24.75,10.5,4,2.84,0,637.2,57.59
0,0,0,192.6,32.74,9.4,4,2.54,1,586.1,60.15
0,0,0,158.6,26.96,6.9,5,1.86,2,518.8,50.239999999999995
0,0,0,169.3,28.78,12.2,3,3.29,1,590.2,58.15
0,0,0,169.5,28.82,9.0,7,2.43,2,670.2,63.02
0,0,0,170.5,28.99,11.3,2,3.05,1,592.8,57.989999999999995
1,0,0,150.0,25.5,10.3,7,2.78,3,694.5,64.53
1,0,0,180.9,30.75,8.8,9,2.38,3,573.6,58.6
0,0,0,159.8,27.17,10.6,3,2.86,2,443.20000000000005,47.60000000000001
0,0,0,135.1,22.97,11.7,4,3.16,1,506.59999999999997,51.05
0,0,0,159.5,27.12,16.7,2,4.51,2,617.8,60.35
0,1,34,192.3,32.69,6.3,12,1.7,1,457.90000000000003,51.510000000000005
0,1,29,240.4,40.87,11.2,3,3.02,1,523.5,61.39
0,1,24,114.1,19.4,13.0,9,3.51,2,451.90000000000003,44.56999999999999
0,0,0,191.7,32.59,9.1,5,2.46,1,636.6,64.72999999999999
0,0,0,206.9,35.17,7.7,2,2.08,3,673.1,68.02
1,0,0,256.8,43.66,9.1,10,2.46,3,630.5,72.13999999999999
0,0,0,187.4,31.86,12.2,6,3.29,1,598.6,60.76
1,0,0,151.8,25.81,12.2,4,3.29,1,411.70000000000005,44.94
0,0,0,167.3,28.44,6.7,5,1.81,2,517.1,52.550000000000004
0,0,0,212.0,36.04,8.9,7,2.4,3,632.2,66.41
0,0,0,108.0,18.36,10.4,3,2.81,3,602.0,53.07000000000001
1,0,0,174.0,29.58,11.4,3,3.08,2,596.0,58.099999999999994
0,0,0,197.7,33.61,10.5,3,2.84,3,629.4,65.89
1,0,0,242.2,41.17,13.9,5,3.75,2,720.3,75.48
0,0,0,129.7,22.05,7.5,3,2.03,5,536.1,49.47
0,0,0,212.1,36.06,7.7,2,2.08,3,582.0,60.79
0,0,0,104.7,17.8,15.8,7,4.27,3,356.3,36.67999999999999
0,0,0,150.9,25.65,14.7,1,3.97,1,599.4,60.55
1,1,24,93.5,15.9,9.9,3,2.67,0,517.5999999999999,44.99
0,0,0,149.2,25.36,11.1,5,3.0,1,591.6999999999999,56.019999999999996
1,0,0,273.9,46.56,10.9,7,2.94,1,807.8,84.67
0,0,0,153.5,26.1,8.5,6,2.3,1,587.4,57.989999999999995
0,0,0,221.1,37.59,7.4,3,2.0,1,602.4,63.89
0,1,23,193.5,32.9,8.5,5,2.3,0,686.0999999999999,66.17999999999999
0,0,0,162.3,27.59,10.1,3,2.73,2,595.3000000000001,57.49999999999999
0,0,0,225.9,38.4,14.3,3,3.86,3,702.9,74.75
0,0,0,213.5,36.3,14.1,3,3.81,3,502.1,59.76
0,0,0,216.0,36.72,12.7,4,3.43,1,596.7,63.43
0,0,0,128.8,21.9,14.0,7,3.78,1,539.6,52.510000000000005
0,0,0,180.0,30.6,11.5,6,3.11,2,558.7,56.56
0,0,0,150.7,25.62,7.0,4,1.89,2,501.2,53.150000000000006
0,0,0,158.8,27.0,9.8,4,2.65,2,536.6,54.18999999999999
0,1,24,155.2,26.38,10.7,3,2.89,1,522.1,55.559999999999995
0,0,0,128.8,21.9,11.2,2,3.02,1,374.8,40.190000000000005
0,0,0,264.5,44.97,7.5,4,2.03,2,721.2,75.31
1,1,29,139.8,23.77,5.5,6,1.49,0,499.0,46.96
0,0,0,203.8,34.65,12.5,3,3.38,0,684.2,70.96999999999998
0,0,0,158.8,27.0,7.6,7,2.05,1,693.6,63.71
0,0,0,132.6,22.54,12.7,2,3.43,4,481.6,50.519999999999996
0,0,0,180.2,30.63,8.4,3,2.27,1,459.59999999999997,49.38
0,0,0,106.4,18.09,11.4,3,3.08,1,337.5,37.17999999999999
0,0,0,227.0,38.59,8.9,1,2.4,2,655.4,70.62
0,0,0,176.3,29.97,11.3,5,3.05,1,539.2,57.4
0,0,0,34.0,5.78,11.5,3,3.11,0,442.20000000000005,38.4
1,0,0,158.4,26.93,2.1,4,0.57,1,609.2,60.05
0,0,0,202.9,34.49,12.8,3,3.46,5,585.3,62.300000000000004
0,0,0,161.6,27.47,13.8,2,3.73,1,652.7,61.15999999999999
1,0,0,194.4,33.05,11.2,7,3.02,2,687.6,68.17
1,1,16,147.2,25.02,7.7,2,2.08,0,491.29999999999995,48.989999999999995
0,1,16,118.9,20.21,8.2,5,2.21,2,527.3000000000001,49.93000000000001
0,1,26,170.8,29.04,9.6,5,2.59,5,540.0,56.230000000000004
0,1,24,205.5,34.94,14.0,4,3.78,1,640.7,67.08
0,0,0,160.4,27.27,9.1,5,2.46,2,498.3,49.04
0,0,0,237.3,40.34,11.2,6,3.02,1,628.3,67.12
0,0,0,98.0,16.66,10.5,4,2.84,0,593.5,51.43000000000001
0,0,0,145.6,24.75,12.2,5,3.29,0,658.5,62.51
0,1,32,142.6,24.24,12.0,2,3.24,3,521.8,52.87
0,1,40,108.6,18.46,13.4,4,3.62,0,441.3,45.3
0,0,0,168.2,28.59,12.9,3,3.48,1,562.4,58.8
0,1,36,201.9,34.32,13.7,5,3.7,0,489.50000000000006,57.22
0,1,26,244.9,41.63,15.2,4,4.1,2,598.9,66.38
0,1,31,228.6,38.86,9.0,1,2.43,3,644.2,69.93
0,1,24,154.8,26.32,9.0,4,2.43,1,539.6,53.15
0,1,28,220.3,37.45,9.4,6,2.54,4,709.1,73.42
1,0,0,254.7,43.3,8.0,3,2.16,0,685.0,74.91
0,0,0,204.7,34.8,11.0,4,2.97,6,513.5999999999999,57.38999999999999
0,1,24,232.9,39.59,10.7,6,2.89,1,729.3,70.9
0,1,20,264.7,45.0,10.4,7,2.81,0,691.9,75.69
0,0,0,158.6,26.96,9.1,3,2.46,0,631.5,59.5
0,0,0,170.9,29.05,11.6,3,3.13,1,416.1,48.51
0,0,0,197.0,33.49,16.1,8,4.35,0,599.3,63.56
0,0,0,182.5,31.03,7.5,2,2.03,2,563.8,59.50000000000001
0,0,0,183.6,31.21,12.2,6,3.29,3,548.4,57.02
0,0,0,146.3,24.87,13.1,3,3.54,1,583.7,56.2
0,1,27,196.6,33.42,6.6,5,1.78,1,622.2,61.580000000000005
1,1,39,149.7,25.45,9.2,4,2.48,1,475.09999999999997,51.01
0,1,21,161.2,27.4,4.4,8,1.19,4,573.5999999999999,57.24
0,0,0,149.0,25.33,8.6,3,2.32,2,518.6,49.53
0,0,0,224.5,38.17,11.5,2,3.11,2,541.8,63.59
0,0,0,154.4,26.25,13.9,4,3.75,1,557.0,56.8
0,0,0,154.7,26.3,5.9,2,1.59,4,505.4,50.78
0,0,0,155.2,26.38,8.7,4,2.35,1,559.9,56.349999999999994
0,0,0,135.4,23.02,17.5,4,4.73,0,490.8,53.22
0,1,21,153.2,26.04,11.9,7,3.21,1,551.5,57.71
0,0,0,113.6,19.31,10.5,6,2.84,2,459.9,44.08
0,0,0,219.2,37.26,10.0,5,2.7,1,547.6,61.419999999999995
0,0,0,103.3,17.56,6.4,7,1.73,0,510.29999999999995,47.43999999999999
0,0,0,202.4,34.41,9.2,5,2.48,3,640.0,66.99000000000001
0,0,0,132.9,22.59,9.9,2,2.67,3,360.3,38.18
0,1,12,221.0,37.57,9.0,6,2.43,2,551.0,60.9
0,0,0,278.9,47.41,11.7,7,3.16,0,724.3,78.22
0,1,43,177.9,30.24,11.5,4,3.11,1,514.3,55.489999999999995
0,0,0,181.1,30.79,4.2,9,1.13,2,742.2,69.74
0,0,0,156.5,26.61,12.2,2,3.29,2,524.1,52.050000000000004
1,0,0,198.4,33.73,10.5,5,2.84,1,610.7,65.11
0,0,0,216.9,36.87,11.4,5,3.08,3,607.7,65.98
0,1,33,141.4,24.04,7.7,6,2.08,1,537.8,51.41
0,0,0,98.2,16.69,9.3,2,2.51,2,502.29999999999995,44.6
0,1,18,106.4,18.09,10.1,5,2.73,1,422.9,39.39
0,1,22,196.4,33.39,9.3,1,2.51,0,522.9000000000001,56.61
0,0,0,209.1,35.55,14.0,6,3.78,0,494.79999999999995,56.42999999999999
0,0,0,178.1,30.28,8.5,2,2.3,1,462.20000000000005,51.22
0,0,0,193.6,32.91,13.1,1,3.54,2,624.8,61.8
1,1,31,203.5,34.6,13.4,6,3.62,1,617.8,64.88000000000001
0,0,0,151.6,25.77,14.7,4,3.97,1,547.0,53.75
0,1,30,110.3,18.75,11.0,8,2.97,2,476.5,45.489999999999995
0,0,0,168.3,28.61,8.4,6,2.27,1,503.1,49.45
0,0,0,139.1,23.65,11.4,9,3.08,5,592.3,56.96
0,0,0,241.9,41.12,6.6,5,1.78,1,601.6,64.88999999999999
0,0,0,162.7,27.66,8.7,6,2.35,0,638.0,63.080000000000005
0,0,0,260.8,44.34,5.8,2,1.57,1,650.2,73.75999999999999
0,0,0,246.4,41.89,3.8,4,1.03,0,671.6,72.31
0,0,0,149.2,25.36,8.1,2,2.19,1,610.9,58.75999999999999
0,0,0,107.5,18.28,12.6,3,3.4,2,611.0999999999999,54.589999999999996
0,0,0,211.2,35.9,12.3,2,3.32,0,708.0999999999999,71.07999999999998
0,0,0,85.9,14.6,10.1,2,2.73,0,511.3,44.23
0,0,0,131.7,22.39,11.0,5,2.97,1,544.3,52.58
0,0,0,217.0,36.89,11.8,4,3.19,2,503.6,59.07
0,0,0,206.2,35.05,11.0,7,2.97,1,679.7,66.38
0,1,28,215.8,36.69,6.9,3,1.86,1,693.1,71.42999999999999
1,0,0,225.3,38.3,17.3,9,4.67,1,473.1,58.45
0,1,51,283.9,48.26,10.0,4,2.7,1,672.2,76.11
1,1,20,237.5,40.38,14.2,3,3.83,9,756.0999999999999,77.67999999999999
0,1,39,218.5,37.15,7.3,4,1.97,1,536.3,57.92999999999999
0,1,31,142.1,24.16,11.0,4,2.97,1,588.5,54.94
0,0,0,220.8,37.54,7.6,3,2.05,2,553.2,60.489999999999995
0,0,0,239.3,40.68,10.9,3,2.94,1,667.6,70.72
0,0,0,243.0,41.31,15.3,6,4.13,0,611.2,69.36
0,1,38,219.4,37.3,11.0,1,2.97,2,504.0,60.29
0,0,0,139.6,23.73,15.0,4,4.05,2,359.4,42.63999999999999
0,1,38,214.4,36.45,10.0,8,2.7,1,591.1,64.57
0,0,0,191.9,32.62,18.2,3,4.91,1,664.7,66.85
0,0,0,169.6,28.83,11.2,4,3.02,0,689.6999999999999,64.64
0,0,0,194.6,33.08,3.8,2,1.03,3,600.8,61.699999999999996
0,0,0,176.8,30.06,6.5,3,1.76,2,561.1,56.62
0,0,0,74.5,12.67,9.8,7,2.65,3,467.5,41.04
0,1,42,166.9,28.37,11.5,1,3.11,1,611.1,62.39
